time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
300	0.13544	0.22008	0.23782	0.23474	0.2354	0.23306	0.23002	0.2301	0.2079	0.22576	0.25868	0.2681	0.23966	0.24594	0.25962	0.26464	0.23226	0.24478	0.2522	0.25356	0.2351	0.24292	0.26624	0.27412	0.23964	0.24536	0.25848	0.27054	0.23052	0.23822	0.22416	0.23412	0.2262	0.24716	0.22462	0.2246	0.22044	0.22162	0.2083	0.21562
330	0.13556	0.24558	0.2681	0.2643	0.26508	0.26104	0.2583	0.2576	0.2355	0.25326	0.29994	0.3108	0.2744	0.28234	0.30194	0.30774	0.26416	0.27874	0.29014	0.29062	0.26792	0.27918	0.3106	0.31986	0.27358	0.2807	0.2988	0.31446	0.26142	0.27102	0.25208	0.26482	0.25586	0.28254	0.25244	0.25142	0.24744	0.24668	0.23002	0.23802
360	0.13544	0.27984	0.30806	0.30292	0.30468	0.2988	0.29622	0.2944	0.27172	0.28986	0.35382	0.3663	0.32016	0.33034	0.3568	0.36356	0.30616	0.32394	0.34082	0.34	0.3107	0.32696	0.36842	0.37944	0.31872	0.328	0.35266	0.3709	0.30294	0.31436	0.29014	0.30568	0.29592	0.33026	0.29102	0.28886	0.28404	0.281	0.25968	0.26932
390	0.13544	0.32488	0.3599	0.35342	0.35646	0.3488	0.34598	0.34308	0.31888	0.33796	0.42218	0.43774	0.38084	0.39378	0.42664	0.43536	0.36186	0.38328	0.4051	0.40362	0.36692	0.38974	0.44116	0.45416	0.37806	0.39044	0.42068	0.44204	0.35724	0.37212	0.33962	0.35932	0.34896	0.39242	0.343	0.33942	0.33312	0.3274	0.2994	0.31154
420	0.13546	0.38296	0.4257	0.41706	0.42182	0.41274	0.40944	0.4049	0.37584	0.39918	0.50444	0.52302	0.45538	0.472	0.5102	0.51972	0.4312	0.45616	0.48282	0.48056	0.43634	0.46654	0.52654	0.5424	0.45126	0.4668	0.50254	0.52676	0.42458	0.44388	0.40334	0.42776	0.41652	0.4692	0.40918	0.40558	0.3968	0.38732	0.35268	0.36726
450	0.13546	0.45354	0.50296	0.49224	0.49914	0.48928	0.48472	0.47976	0.44238	0.47194	0.60154	0.6231	0.54512	0.56398	0.60626	0.6165	0.51404	0.54184	0.57294	0.57016	0.5185	0.55684	0.62414	0.64246	0.53764	0.557	0.59642	0.62246	0.5061	0.52986	0.48094	0.5094	0.49688	0.56026	0.4896	0.48704	0.4752	0.46188	0.41938	0.43816
480	0.13546	0.53578	0.5929	0.58082	0.58912	0.57726	0.57302	0.56686	0.5196	0.55702	0.70596	0.7299	0.64632	0.66748	0.71046	0.72222	0.60816	0.63996	0.67372	0.67112	0.61268	0.659	0.72982	0.74958	0.63644	0.65906	0.69876	0.72618	0.60006	0.62822	0.57154	0.6046	0.59066	0.664	0.5822	0.58172	0.5677	0.55046	0.49916	0.5219
510	0.13544	0.62872	0.69114	0.6786	0.68722	0.67418	0.66958	0.66314	0.6047	0.65182	0.80822	0.83474	0.75148	0.77538	0.81358	0.82638	0.70904	0.7445	0.77672	0.77362	0.71176	0.7644	0.8318	0.85272	0.74064	0.76504	0.79978	0.82898	0.69934	0.73134	0.66792	0.70726	0.689	0.77128	0.68206	0.68524	0.66808	0.64944	0.59094	0.61742
540	0.13548	0.72496	0.79264	0.77958	0.78936	0.77488	0.7693	0.76222	0.69164	0.74972	0.90594	0.9338	0.85478	0.87948	0.91158	0.92446	0.81156	0.84884	0.8741	0.87334	0.8094	0.86712	0.92772	0.95014	0.84192	0.86732	0.8954	0.92694	0.79788	0.83148	0.76598	0.80826	0.78564	0.87462	0.78104	0.78836	0.77178	0.7526	0.68786	0.71616
570	0.13562	0.81972	0.89066	0.87776	0.88778	0.871	0.86672	0.8596	0.77616	0.84744	0.98792	1.01806	0.95062	0.9768	0.99624	1.01034	0.90956	0.9474	0.96496	0.96674	0.90218	0.96246	1.0096	1.03158	0.93602	0.9618	0.98064	1.01198	0.89144	0.927	0.85922	0.90636	0.87744	0.96924	0.87666	0.88662	0.86852	0.85034	0.78326	0.81426
600	0.13552	0.9079	0.98008	0.96626	0.9756	0.9604	0.95448	0.94804	0.85092	0.93818	1.05076	1.08204	1.02842	1.05424	1.05948	1.07596	0.99294	1.03228	1.03754	1.04198	0.98018	1.04008	1.07052	1.0928	1.01452	1.03902	1.04336	1.07724	0.97034	1.00622	0.94126	0.99212	0.9549	1.04798	0.95924	0.97234	0.9546	0.9413	0.87338	0.90536
630	0.13548	0.98072	1.0543	1.04	1.04926	1.03494	1.02934	1.0232	0.91088	1.01306	1.09652	1.12952	1.08634	1.11294	1.10686	1.12378	1.05554	1.09604	1.09148	1.09962	1.03848	1.09712	1.11634	1.13726	1.07392	1.0967	1.09026	1.12514	1.02886	1.06588	1.00528	1.05814	1.01304	1.10634	1.02304	1.03838	1.02324	1.01478	0.949	0.9814
660	0.13558	1.0382	1.11232	1.0968	1.10586	1.0924	1.0858	1.07994	0.95714	1.0708	1.13234	1.16622	1.12972	1.15764	1.14358	1.15982	1.10142	1.14244	1.1342	1.14338	1.08182	1.13998	1.15128	1.17192	1.11802	1.13904	1.1252	1.16152	1.07316	1.1096	1.05262	1.10694	1.05658	1.14784	1.06936	1.08656	1.07268	1.07044	1.0049	1.03812
690	0.13556	1.08146	1.15688	1.1401	1.14944	1.136	1.12864	1.12266	0.99134	1.1144	1.1627	1.19812	1.16376	1.19294	1.1736	1.18984	1.1362	1.17784	1.16632	1.1779	1.11658	1.1726	1.17998	1.19988	1.15214	1.17314	1.1549	1.19124	1.10628	1.14386	1.08808	1.14424	1.09	1.18118	1.10438	1.12256	1.1101	1.11114	1.0468	1.08072
720	0.13564	1.11518	1.19118	1.1742	1.18364	1.17098	1.16286	1.15806	1.01914	1.14936	1.18916	1.2249	1.19236	1.22162	1.19834	1.21612	1.1651	1.20656	1.19558	1.20636	1.14476	1.20094	1.20408	1.22314	1.1798	1.20032	1.1794	1.21688	1.13456	1.17172	1.1168	1.17318	1.11616	1.20772	1.1324	1.1511	1.13898	1.14246	1.07842	1.11308
750	0.13566	1.14448	1.22122	1.20318	1.21254	1.20014	1.1918	1.1871	1.04346	1.17846	1.21442	1.25214	1.21704	1.24808	1.22302	1.24006	1.1902	1.23238	1.22042	1.23316	1.17006	1.22514	1.2245	1.24434	1.20458	1.22444	1.20218	1.23952	1.15774	1.19526	1.14138	1.19844	1.13952	1.23112	1.15652	1.17598	1.16408	1.16832	1.10584	1.13958
780	0.13576	1.1686	1.24706	1.22804	1.23798	1.22634	1.2165	1.2122	1.06368	1.20368	1.23902	1.27652	1.24164	1.27164	1.24438	1.26202	1.2123	1.25568	1.24364	1.25676	1.19196	1.24646	1.24478	1.26338	1.22508	1.24622	1.22152	1.26102	1.18006	1.21706	1.16266	1.2203	1.15902	1.25066	1.17716	1.19688	1.1846	1.19174	1.12832	1.1626
810	0.13578	1.19162	1.26978	1.25118	1.26024	1.24844	1.23852	1.23436	1.08154	1.22616	1.25846	1.29716	1.26174	1.29362	1.26364	1.28152	1.23338	1.27712	1.26384	1.27732	1.21192	1.26668	1.26102	1.28028	1.2447	1.2643	1.2398	1.27902	1.20012	1.23664	1.18138	1.23832	1.17752	1.2682	1.1949	1.21482	1.20278	1.21228	1.14878	1.1819
840	0.13578	1.21108	1.2898	1.27098	1.27966	1.2695	1.25928	1.2551	1.09898	1.24644	1.2796	1.31858	1.2805	1.31248	1.28244	1.29914	1.25056	1.29556	1.28418	1.29724	1.22978	1.28344	1.27652	1.29518	1.26234	1.28146	1.25662	1.29728	1.21634	1.25304	1.19812	1.25542	1.19286	1.2828	1.21186	1.23208	1.21912	1.2298	1.16678	1.20036
870	0.13588	1.22964	1.30808	1.28894	1.29828	1.28828	1.2768	1.27296	1.11392	1.26512	1.3045	1.34248	1.30066	1.33472	1.30478	1.32196	1.26872	1.3132	1.30866	1.32248	1.24638	1.30088	1.29318	1.3115	1.27656	1.29618	1.27426	1.31544	1.23182	1.26762	1.21216	1.26986	1.2061	1.29568	1.22502	1.24578	1.23276	1.24392	1.18152	1.21524
900	0.13588	1.2472	1.32582	1.30668	1.31504	1.30474	1.29338	1.28958	1.12766	1.28202	1.32694	1.36442	1.32384	1.35598	1.32776	1.34398	1.28968	1.33494	1.33126	1.34622	1.2676	1.32076	1.31238	1.33108	1.2938	1.31312	1.29448	1.33578	1.2497	1.2859	1.2277	1.2859	1.22218	1.31178	1.24022	1.2609	1.2464	1.2589	1.19532	1.23006
930	0.13592	1.26124	1.34154	1.32112	1.33032	1.32092	1.30872	1.3047	1.14182	1.29704	1.34456	1.38162	1.34358	1.37596	1.34468	1.3608	1.3104	1.35468	1.34908	1.36498	1.28776	1.33996	1.32996	1.34746	1.31186	1.33052	1.31204	1.35304	1.26952	1.30622	1.24578	1.30314	1.23986	1.32874	1.25712	1.27828	1.2624	1.27538	1.21152	1.2451
960	0.13588	1.2749	1.3552	1.33524	1.3432	1.33404	1.32176	1.31824	1.15312	1.31024	1.35808	1.3944	1.35868	1.39116	1.35728	1.37328	1.32556	1.3709	1.36128	1.37774	1.3049	1.35488	1.3427	1.36032	1.32764	1.34602	1.32518	1.36712	1.28554	1.32216	1.2624	1.3197	1.25592	1.3438	1.27322	1.29386	1.27834	1.29202	1.22944	1.2621
990	0.13592	1.28858	1.36926	1.3486	1.35708	1.34708	1.33574	1.332	1.16746	1.32358	1.36578	1.4031	1.36944	1.40122	1.36664	1.38258	1.33768	1.3827	1.37046	1.38692	1.3174	1.36702	1.35356	1.37048	1.34072	1.3585	1.33488	1.37618	1.29842	1.33536	1.27606	1.33344	1.26968	1.35578	1.2869	1.3072	1.29352	1.30712	1.24402	1.27638
1020	0.13596	1.30196	1.38242	1.36104	1.3705	1.35952	1.348	1.3446	1.18144	1.33794	1.3713	1.40924	1.37624	1.4075	1.37248	1.38862	1.34522	1.39048	1.37604	1.39258	1.32688	1.37674	1.36096	1.37744	1.35112	1.3678	1.3433	1.38414	1.30822	1.34504	1.28734	1.34486	1.27974	1.36512	1.29782	1.31892	1.30434	1.32036	1.25802	1.29112
1050	0.13596	1.31444	1.39396	1.37236	1.38154	1.3711	1.3605	1.35634	1.19426	1.35	1.37576	1.4131	1.38082	1.41192	1.37638	1.39284	1.35008	1.39556	1.37876	1.39652	1.33374	1.38404	1.36626	1.38206	1.3578	1.374	1.34742	1.38846	1.31578	1.35194	1.29614	1.35286	1.28836	1.37274	1.30632	1.32734	1.31304	1.3295	1.26822	1.30112
1080	0.13598	1.32328	1.40188	1.38026	1.38942	1.37934	1.36836	1.36378	1.20442	1.35836	1.37736	1.41572	1.38418	1.41578	1.37918	1.39612	1.35374	1.39962	1.38204	1.39984	1.33972	1.38796	1.36986	1.3864	1.36324	1.3793	1.35076	1.39162	1.32038	1.35676	1.30346	1.35966	1.29342	1.37842	1.31296	1.33356	1.31926	1.33612	1.2776	1.30942
1110	0.13606	1.32946	1.4085	1.38686	1.39618	1.38598	1.37526	1.37088	1.21236	1.36464	1.3793	1.41752	1.38592	1.41764	1.3817	1.3977	1.35628	1.4019	1.38374	1.40158	1.34396	1.39144	1.3734	1.3888	1.36674	1.38134	1.35264	1.39434	1.32466	1.3605	1.30706	1.3644	1.2986	1.38164	1.31726	1.33766	1.3244	1.34186	1.28368	1.31632
1140	0.13602	1.33386	1.41272	1.39092	1.40014	1.3899	1.3792	1.3748	1.2182	1.36928	1.38048	1.4189	1.38836	1.41922	1.38288	1.40036	1.35768	1.40332	1.38366	1.40308	1.34688	1.3942	1.37536	1.3904	1.36952	1.38416	1.35452	1.3962	1.32802	1.36324	1.31126	1.36764	1.30162	1.38462	1.31978	1.34108	1.32782	1.34562	1.28868	1.32096
1170	0.13606	1.3384	1.41666	1.3949	1.4029	1.39324	1.38254	1.3786	1.2236	1.37308	1.38192	1.42064	1.389	1.42078	1.38422	1.40114	1.35946	1.4055	1.38514	1.40494	1.34782	1.39614	1.37682	1.39204	1.3721	1.38562	1.35542	1.39686	1.32948	1.3656	1.31342	1.37064	1.30328	1.3862	1.3222	1.34338	1.33056	1.34856	1.2924	1.32414
1200	0.13608	1.34176	1.4194	1.39796	1.4063	1.39576	1.38562	1.38024	1.22708	1.37692	1.38256	1.42152	1.39036	1.42176	1.38568	1.40262	1.36074	1.40568	1.38612	1.4061	1.34958	1.39668	1.37774	1.39376	1.37422	1.3871	1.35676	1.3974	1.33118	1.3677	1.31604	1.37222	1.30496	1.38782	1.32412	1.34534	1.33228	1.35048	1.29528	1.3271
1230	0.13606	1.34328	1.42122	1.3994	1.40802	1.39764	1.38702	1.38274	1.22932	1.37838	1.38402	1.42224	1.39134	1.42276	1.3869	1.404	1.36138	1.407	1.38762	1.40736	1.35108	1.39754	1.3792	1.39392	1.37512	1.38806	1.35786	1.3984	1.33302	1.36922	1.31826	1.37358	1.3061	1.38944	1.32586	1.3467	1.33408	1.35248	1.2979	1.32896
1260	0.13608	1.34552	1.42322	1.40152	1.41024	1.39922	1.38934	1.38472	1.23268	1.38034	1.38468	1.4232	1.3927	1.4241	1.38792	1.4047	1.36218	1.40784	1.38902	1.4081	1.35156	1.39956	1.38032	1.39512	1.3762	1.38892	1.3585	1.40026	1.33348	1.36992	1.31862	1.37502	1.30728	1.39024	1.32694	1.34866	1.3353	1.35396	1.29898	1.33032
1290	0.13602	1.3473	1.4248	1.4027	1.4121	1.40122	1.39146	1.38634	1.23456	1.38236	1.38548	1.42402	1.3931	1.4252	1.3889	1.40604	1.3633	1.40942	1.39018	1.4088	1.35234	1.40016	1.38176	1.3959	1.37666	1.39002	1.35924	1.39994	1.33422	1.37078	1.32	1.3769	1.30862	1.39182	1.3279	1.34952	1.33664	1.3559	1.29978	1.33174
1320	0.1361	1.34876	1.42648	1.40472	1.4136	1.40252	1.39286	1.38866	1.23608	1.3838	1.3866	1.42494	1.39418	1.42604	1.3902	1.4069	1.3643	1.41098	1.391	1.4103	1.35374	1.40146	1.38246	1.39678	1.37796	1.39098	1.3612	1.40158	1.33532	1.37226	1.32126	1.37852	1.30922	1.39252	1.32888	1.35144	1.33782	1.35678	1.3018	1.33316
1350	0.136	1.35014	1.42766	1.4058	1.4147	1.40384	1.39378	1.3901	1.23766	1.38494	1.38802	1.42642	1.3954	1.42696	1.39096	1.4079	1.36572	1.41226	1.39178	1.41172	1.35444	1.40276	1.38308	1.3976	1.37832	1.39194	1.3616	1.40316	1.33678	1.3734	1.32254	1.37992	1.30978	1.39372	1.3304	1.35202	1.3382	1.3575	1.30298	1.3341
1380	0.13596	1.35186	1.4293	1.40738	1.41598	1.40442	1.39508	1.39124	1.23944	1.38618	1.38902	1.42666	1.39648	1.42744	1.392	1.40886	1.3667	1.41322	1.39292	1.41236	1.35566	1.40298	1.38392	1.39904	1.37964	1.39344	1.36314	1.4044	1.33774	1.37414	1.32302	1.38046	1.31064	1.39416	1.33104	1.3523	1.3393	1.3586	1.30442	1.33616
1410	0.13598	1.35316	1.43092	1.40872	1.4175	1.40612	1.3962	1.39218	1.24058	1.38792	1.39022	1.42736	1.3974	1.42856	1.3934	1.4097	1.36808	1.41408	1.39408	1.41406	1.35648	1.4046	1.38544	1.39966	1.38044	1.3938	1.3636	1.4055	1.33898	1.3756	1.32358	1.381	1.31184	1.39492	1.33156	1.3533	1.34052	1.35972	1.3054	1.33732
1440	0.13596	1.35414	1.43154	1.40994	1.41878	1.40736	1.39774	1.39338	1.24222	1.38826	1.3906	1.4285	1.39842	1.42968	1.39452	1.41104	1.3696	1.41606	1.39556	1.4147	1.35772	1.40484	1.38624	1.40016	1.38132	1.39494	1.36478	1.40664	1.3403	1.37658	1.3242	1.3823	1.31286	1.39626	1.3324	1.35468	1.34118	1.35994	1.30564	1.33744
1470	0.13606	1.35562	1.43274	1.4108	1.42	1.4086	1.3986	1.3939	1.2435	1.39006	1.39146	1.42912	1.39916	1.43038	1.39538	1.412	1.37026	1.4164	1.3965	1.4164	1.35834	1.40592	1.38666	1.40072	1.382	1.3954	1.36594	1.40692	1.34098	1.37758	1.32562	1.38286	1.31318	1.39684	1.33374	1.35572	1.3427	1.3614	1.30726	1.33846
1500	0.13608	1.35626	1.43366	1.41192	1.42072	1.40954	1.40002	1.39528	1.24444	1.39172	1.39284	1.43012	1.40018	1.43098	1.39628	1.41302	1.37172	1.41766	1.39728	1.4166	1.35934	1.40664	1.38734	1.40154	1.38326	1.39676	1.3666	1.40782	1.34214	1.3789	1.32662	1.38418	1.31398	1.39768	1.33432	1.35672	1.34302	1.36222	1.30844	1.33932
1530	0.1362	1.35752	1.43418	1.41276	1.42204	1.41066	1.40066	1.39578	1.24542	1.39236	1.3936	1.43104	1.40014	1.43212	1.39704	1.41386	1.37264	1.4183	1.39858	1.41748	1.36028	1.40778	1.38808	1.40238	1.38398	1.39712	1.36766	1.40908	1.34298	1.37904	1.3273	1.3845	1.31506	1.3979	1.3348	1.357	1.3437	1.36306	1.3095	1.34014
1560	0.13614	1.35902	1.43576	1.41382	1.42296	1.41168	1.40222	1.39724	1.24816	1.39382	1.39404	1.43182	1.40158	1.43296	1.39814	1.4147	1.37402	1.41956	1.3996	1.41896	1.36096	1.4082	1.3886	1.40358	1.3848	1.398	1.36808	1.40964	1.3438	1.38028	1.32806	1.38568	1.31534	1.39914	1.33568	1.3578	1.3446	1.3638	1.30988	1.34068
1590	0.13614	1.35986	1.4367	1.41444	1.42384	1.41182	1.40218	1.39784	1.24896	1.39402	1.39512	1.4327	1.40204	1.43362	1.3994	1.41554	1.375	1.42096	1.40052	1.42016	1.36118	1.4094	1.38966	1.40396	1.38528	1.39858	1.36856	1.41008	1.34418	1.38088	1.32832	1.38548	1.3162	1.39976	1.33672	1.35904	1.34618	1.36516	1.31182	1.34252
1620	0.13606	1.36034	1.4377	1.41584	1.42444	1.41292	1.403	1.39892	1.2493	1.39472	1.39638	1.43384	1.40286	1.43432	1.40014	1.41686	1.37632	1.42258	1.40198	1.4206	1.3622	1.40962	1.39044	1.40486	1.38564	1.39988	1.36996	1.41184	1.3454	1.38156	1.32918	1.38718	1.31682	1.40038	1.33712	1.35946	1.34652	1.36578	1.31168	1.34248
1650	0.13592	1.3617	1.43874	1.41678	1.4254	1.41368	1.40408	1.40022	1.25114	1.39586	1.39724	1.4349	1.40374	1.43522	1.40122	1.41726	1.3768	1.4234	1.40302	1.4214	1.36336	1.41062	1.39098	1.40578	1.3865	1.40096	1.37088	1.413	1.34644	1.38238	1.33034	1.38852	1.31784	1.4015	1.338	1.36012	1.34702	1.36672	1.31176	1.34284
1680	0.1362	1.36248	1.43936	1.41734	1.4259	1.41452	1.40492	1.40088	1.25262	1.39652	1.39816	1.4359	1.40436	1.43572	1.40254	1.4184	1.37794	1.42416	1.4037	1.42224	1.36358	1.41126	1.3915	1.40668	1.38698	1.40152	1.37102	1.4135	1.34686	1.38318	1.33096	1.38918	1.31876	1.40168	1.3387	1.3605	1.3475	1.3672	1.31354	1.34376
1710	0.13614	1.3635	1.43978	1.41816	1.42684	1.41486	1.40558	1.40186	1.25394	1.39688	1.39864	1.43672	1.405	1.43632	1.40314	1.41916	1.379	1.4254	1.40472	1.42316	1.36502	1.41272	1.39282	1.40758	1.3877	1.4024	1.37258	1.4147	1.34832	1.3845	1.33172	1.38948	1.3198	1.40234	1.33948	1.3615	1.34818	1.36852	1.31434	1.34426
1740	0.13626	1.36402	1.44038	1.41882	1.4278	1.41546	1.40694	1.40254	1.25496	1.3983	1.39946	1.4371	1.40598	1.43738	1.40348	1.4204	1.37984	1.42584	1.40566	1.42436	1.36544	1.41354	1.39316	1.40808	1.3877	1.403	1.37364	1.4153	1.34932	1.38506	1.33224	1.39054	1.32012	1.40342	1.3404	1.36234	1.34926	1.36864	1.31516	1.34556
1770	0.13618	1.36444	1.4408	1.41956	1.42828	1.41638	1.40716	1.4036	1.25514	1.39892	1.40056	1.4379	1.4072	1.43822	1.40458	1.42102	1.38028	1.42632	1.40712	1.42496	1.36582	1.41344	1.39392	1.40902	1.3889	1.4038	1.37446	1.4161	1.3501	1.38512	1.33308	1.3909	1.3208	1.4033	1.34108	1.3635	1.34946	1.36994	1.3162	1.34626
1800	0.1362	1.36546	1.44208	1.42038	1.42902	1.41724	1.4083	1.40438	1.25664	1.39974	1.40148	1.43916	1.40788	1.43886	1.4052	1.42214	1.38104	1.42776	1.40852	1.42574	1.36772	1.41498	1.39538	1.40992	1.38998	1.40502	1.37554	1.41784	1.35124	1.3867	1.33444	1.39208	1.32186	1.40452	1.34144	1.36372	1.3499	1.36978	1.3171	1.34664
1830	0.13628	1.36586	1.44188	1.42096	1.42962	1.41802	1.4089	1.40542	1.25732	1.40004	1.40112	1.4393	1.40858	1.43886	1.40588	1.42332	1.38278	1.42888	1.40936	1.42624	1.36788	1.41546	1.39552	1.41056	1.39002	1.40464	1.3759	1.41806	1.3516	1.38728	1.33472	1.39232	1.32224	1.40514	1.34194	1.36386	1.35026	1.3708	1.31764	1.34854
