time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
300	0.12562	0.15926	0.1616	0.16128	0.16206	0.16098	0.16018	0.15924	0.16292	0.16014	0.16824	0.16818	0.17468	0.16998	0.16012	0.16714	0.16162	0.1648	0.16808	0.16822	0.15638	0.1542	0.15738	0.16182	0.15592	0.15472	0.1548	0.15994	0.15842	0.15518	0.1451	0.1434	0.14638	0.14782	0.14652	0.14894	0.14564	0.14972	0.1479	0.1457
330	0.12558	0.15972	0.16198	0.16166	0.1625	0.1616	0.16076	0.15948	0.16296	0.1603	0.16832	0.16852	0.17534	0.17076	0.16034	0.16706	0.16222	0.16522	0.16864	0.16892	0.1565	0.15416	0.15764	0.1621	0.15596	0.15476	0.15512	0.16014	0.15832	0.15504	0.14452	0.14288	0.14612	0.1477	0.14626	0.14872	0.14546	0.1497	0.14754	0.1455
360	0.12546	0.15946	0.16204	0.16198	0.16254	0.16138	0.16076	0.1598	0.16342	0.16016	0.16846	0.169	0.17564	0.17092	0.16032	0.16732	0.16216	0.1654	0.1685	0.16908	0.15654	0.15394	0.15754	0.16198	0.15566	0.15466	0.15512	0.15996	0.15822	0.15466	0.14408	0.14228	0.14574	0.14744	0.14576	0.14828	0.14524	0.14934	0.14724	0.14516
390	0.12556	0.15988	0.16266	0.16246	0.16318	0.16206	0.1612	0.1602	0.1637	0.1604	0.16884	0.16934	0.17512	0.17104	0.16046	0.16776	0.1629	0.16626	0.16962	0.16982	0.15656	0.15378	0.15746	0.16194	0.15554	0.15452	0.15488	0.16018	0.1579	0.15454	0.14368	0.14206	0.14566	0.14744	0.14554	0.1479	0.14518	0.14926	0.1468	0.14484
420	0.12552	0.16032	0.16306	0.16292	0.16342	0.16246	0.1617	0.1606	0.16424	0.16126	0.16928	0.1698	0.17554	0.17166	0.16088	0.16812	0.16304	0.16624	0.16896	0.1693	0.1567	0.15368	0.15738	0.16208	0.1551	0.15456	0.15492	0.16036	0.15798	0.15544	0.14344	0.14166	0.14538	0.1473	0.1453	0.14764	0.14504	0.14928	0.14722	0.14502
450	0.12548	0.16078	0.16356	0.16348	0.16398	0.16298	0.16206	0.16106	0.16496	0.16178	0.1697	0.1704	0.1761	0.17218	0.16136	0.16872	0.16382	0.1671	0.1699	0.16974	0.15666	0.1537	0.15742	0.1622	0.15514	0.15452	0.15494	0.16054	0.158	0.1546	0.14286	0.14128	0.1451	0.14736	0.1451	0.14746	0.1451	0.14904	0.1464	0.14424
480	0.12552	0.16134	0.1643	0.16394	0.16446	0.16376	0.16296	0.1617	0.16592	0.16224	0.17036	0.17106	0.17664	0.1728	0.16168	0.16922	0.1643	0.1676	0.17018	0.17028	0.15666	0.15364	0.15768	0.16246	0.15522	0.15468	0.1551	0.16062	0.15842	0.15456	0.1427	0.14098	0.1451	0.14732	0.145	0.1473	0.1451	0.14904	0.14664	0.14424
510	0.12546	0.16164	0.16496	0.16464	0.1651	0.16428	0.16344	0.16232	0.16646	0.16286	0.17066	0.17168	0.17682	0.17328	0.16188	0.16954	0.16512	0.1686	0.17124	0.17116	0.15696	0.15362	0.15766	0.16262	0.15534	0.15464	0.15524	0.16086	0.15864	0.15472	0.1424	0.14086	0.14494	0.1474	0.1449	0.14722	0.14512	0.14902	0.1464	0.14366
540	0.1255	0.16246	0.1657	0.16516	0.1657	0.16496	0.16418	0.1631	0.16722	0.16366	0.1715	0.17238	0.17776	0.17398	0.16262	0.1703	0.1658	0.16924	0.17166	0.1715	0.1571	0.15366	0.15792	0.16302	0.15528	0.15474	0.15524	0.16118	0.15852	0.15454	0.1421	0.1406	0.14496	0.1474	0.14476	0.14702	0.14512	0.149	0.14676	0.1437
570	0.12552	0.16296	0.1665	0.16598	0.16634	0.16576	0.16484	0.16374	0.16808	0.16436	0.173	0.17352	0.17844	0.17498	0.16342	0.17116	0.1665	0.16996	0.17226	0.17214	0.15764	0.15394	0.15842	0.16366	0.15572	0.15486	0.15552	0.16154	0.1589	0.15486	0.14194	0.14044	0.1448	0.14756	0.14474	0.14708	0.14518	0.14906	0.14652	0.14326
