time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
390	0.12846	0.17954	0.18822	0.19062	0.18248	0.17584	0.17632	0.1753	0.17514	0.1774	0.21654	0.21828	0.1768	0.18072	0.21344	0.22196	0.20522	0.21994	0.21778	0.22746	0.18034	0.19274	0.18794	0.19436	0.16698	0.16882	0.17434	0.18	0.19222	0.18538	0.1623	0.16312	0.16114	0.16426	0.15466	0.15434	0.1709	0.17268	0.15798	0.16026
420	0.12842	0.18464	0.19394	0.19654	0.1874	0.1806	0.18084	0.17972	0.17924	0.1818	0.22848	0.2305	0.18204	0.18632	0.22558	0.23506	0.2158	0.23238	0.23064	0.24108	0.1868	0.20092	0.19574	0.20274	0.1708	0.17272	0.1796	0.18602	0.19986	0.19144	0.1653	0.16614	0.16412	0.16748	0.15644	0.15586	0.1757	0.1776	0.15962	0.1618
450	0.12836	0.19082	0.20098	0.20368	0.1935	0.18628	0.18636	0.18502	0.1846	0.18702	0.24286	0.24548	0.18844	0.19334	0.24016	0.25092	0.2286	0.24726	0.24596	0.25792	0.19478	0.211	0.20536	0.21364	0.17586	0.17766	0.18662	0.19346	0.20968	0.19936	0.16914	0.1702	0.16832	0.1718	0.15924	0.158	0.18214	0.18426	0.16234	0.16418
480	0.1283	0.19828	0.20932	0.21232	0.20092	0.19326	0.19286	0.1915	0.19096	0.19334	0.25948	0.26276	0.19604	0.20176	0.25742	0.26938	0.24344	0.26514	0.26398	0.27748	0.20466	0.22332	0.21738	0.2268	0.18208	0.1836	0.19508	0.2028	0.22204	0.20928	0.17384	0.17518	0.17332	0.17718	0.16254	0.16074	0.18998	0.19228	0.16564	0.16736
510	0.1284	0.20708	0.21922	0.2224	0.20942	0.20104	0.20064	0.19912	0.19852	0.20098	0.27924	0.2835	0.2051	0.21166	0.27844	0.2919	0.26136	0.28598	0.2858	0.3009	0.21654	0.23848	0.23182	0.24274	0.1897	0.19112	0.20574	0.21474	0.23736	0.22164	0.18012	0.18142	0.17952	0.18386	0.1666	0.1643	0.19938	0.2022	0.16986	0.17106
540	0.12826	0.21746	0.2308	0.23462	0.21942	0.21056	0.20982	0.20798	0.20742	0.21004	0.302	0.30686	0.21578	0.22346	0.30284	0.3181	0.28226	0.31052	0.31126	0.32836	0.2308	0.25672	0.24922	0.26232	0.19922	0.20038	0.2187	0.22896	0.2557	0.23656	0.18782	0.18924	0.18746	0.19202	0.17174	0.16884	0.21128	0.2143	0.17526	0.17584
570	0.12824	0.22968	0.24484	0.2489	0.2316	0.22186	0.22084	0.21868	0.2181	0.221	0.32842	0.33466	0.2287	0.23784	0.33098	0.34862	0.30686	0.33902	0.34092	0.36016	0.248	0.27854	0.27004	0.28562	0.21086	0.21178	0.2344	0.24608	0.27804	0.25482	0.19748	0.19882	0.19704	0.20226	0.17816	0.17466	0.22544	0.22866	0.1819	0.18198
600	0.12824	0.24402	0.26074	0.26552	0.2455	0.23478	0.2336	0.23076	0.23038	0.23364	0.35876	0.36678	0.24374	0.25426	0.36396	0.38442	0.33598	0.37286	0.37486	0.39748	0.268	0.30388	0.29486	0.313	0.22464	0.22536	0.25304	0.26676	0.30448	0.27668	0.20882	0.2104	0.20862	0.21472	0.18632	0.18178	0.24266	0.24666	0.1901	0.18976
630	0.12824	0.26092	0.27948	0.2851	0.262	0.25012	0.2486	0.24532	0.2452	0.24856	0.39392	0.40364	0.26132	0.27346	0.40158	0.42456	0.36936	0.4113	0.41422	0.44052	0.29146	0.33374	0.32402	0.34504	0.24124	0.24156	0.27494	0.29106	0.33614	0.30294	0.22274	0.22452	0.22274	0.22986	0.19618	0.19072	0.26322	0.26784	0.20036	0.19928
660	0.12826	0.28026	0.30124	0.30748	0.28102	0.26798	0.2666	0.26204	0.26238	0.2663	0.43404	0.44596	0.28204	0.29628	0.44472	0.47122	0.40756	0.45588	0.45924	0.48964	0.31938	0.36894	0.3583	0.3827	0.26122	0.26114	0.30146	0.3199	0.37276	0.33388	0.23972	0.24174	0.23978	0.248	0.20836	0.2014	0.28818	0.29298	0.21266	0.2111
690	0.12816	0.30248	0.32618	0.33336	0.30278	0.28806	0.28692	0.28122	0.28206	0.28658	0.48086	0.4943	0.30604	0.32252	0.4946	0.52258	0.453	0.506	0.51038	0.54568	0.3517	0.40922	0.3982	0.42632	0.28476	0.28426	0.33172	0.35342	0.41406	0.36996	0.25976	0.26212	0.26016	0.26986	0.22268	0.21422	0.31778	0.32352	0.22794	0.22514
