time	blank	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	E6_1	E6_2	E6_3	E6_4	E6_5	E6_6	E6_7	E6_8	E6_9	E6_10	E6_11	E6_12	E6_13	E6_14	E6_15	E6_16	E6_17	E6_18	E6_19	E6_20	E10_1	E10_2	E10_3	E10_4	E10_5	E10_6	E10_7	E10_8	E10_9	E10_10	E10_11	E10_12	E10_13	E10_14	E10_15	E10_16	E10_17	E10_18	E10_19	E10_20
300	0.16174	0.22764	0.23468	0.23456	0.23956	0.2376	0.23236	0.2339	0.23442	0.23566	0.24146	0.23082	0.23428	0.23596	0.22944	0.23364	0.2363	0.23636	0.24232	0.2365	0.23082	0.17652	0.1739	0.17522	0.17298	0.17216	0.17266	0.17372	0.1722	0.17392	0.1734	0.17422	0.17306	0.17202	0.17296	0.17378	0.17418	0.17462	0.17428	0.17388	0.17198	0.15034	0.15166	0.15106	0.15094	0.15128	0.15074	0.1507	0.15228	0.15282	0.15224	0.15196	0.15006	0.15146	0.15082	0.15124	0.15204	0.15252	0.15102	0.1504	0.15148
330	0.1617	0.23892	0.24732	0.24672	0.25328	0.25012	0.244	0.24618	0.24662	0.24774	0.25062	0.24154	0.24634	0.24822	0.24044	0.24658	0.253	0.25304	0.25582	0.24772	0.24048	0.17748	0.17484	0.17598	0.17378	0.17306	0.17358	0.17444	0.17284	0.17472	0.17412	0.17494	0.1739	0.17278	0.17372	0.17448	0.17498	0.17548	0.1749	0.1747	0.17272	0.15028	0.15156	0.151	0.15092	0.15124	0.15068	0.15066	0.1522	0.15284	0.15222	0.15194	0.15004	0.15142	0.1508	0.15118	0.15196	0.15244	0.15104	0.15032	0.1514
360	0.16168	0.25356	0.26408	0.26298	0.27118	0.2665	0.2595	0.2624	0.263	0.2644	0.26784	0.25528	0.26182	0.26368	0.2547	0.25994	0.2614	0.26104	0.27038	0.26216	0.25308	0.17858	0.17586	0.1769	0.17466	0.17398	0.17432	0.17538	0.17368	0.17558	0.17494	0.17566	0.17478	0.1736	0.17458	0.17524	0.17588	0.17638	0.1757	0.1755	0.17356	0.15034	0.1516	0.15098	0.15096	0.15126	0.15074	0.15062	0.15232	0.15282	0.15214	0.15196	0.15008	0.15142	0.15078	0.15118	0.15202	0.15256	0.15106	0.15034	0.15142
390	0.16162	0.27252	0.28524	0.28354	0.29372	0.28694	0.2796	0.2828	0.28376	0.28528	0.28988	0.27282	0.2816	0.28362	0.27302	0.2797	0.28662	0.28556	0.2912	0.2804	0.26878	0.17992	0.17708	0.1779	0.17566	0.1751	0.17546	0.17634	0.17468	0.17666	0.17588	0.17654	0.17576	0.17456	0.1755	0.17618	0.17694	0.17742	0.1766	0.17644	0.17444	0.15034	0.15162	0.15102	0.15104	0.15124	0.15072	0.15068	0.1522	0.1528	0.15218	0.15198	0.15006	0.15144	0.15072	0.15126	0.15208	0.1526	0.151	0.15028	0.15154
420	0.1616	0.29626	0.31258	0.30948	0.32272	0.31368	0.30464	0.30894	0.3101	0.31268	0.31832	0.2947	0.3068	0.30818	0.29642	0.30402	0.3039	0.30172	0.31526	0.30368	0.28934	0.18134	0.17854	0.17904	0.17684	0.17642	0.17662	0.17752	0.17568	0.17786	0.17696	0.17758	0.17688	0.17554	0.17654	0.17716	0.17806	0.17856	0.17754	0.17744	0.17544	0.15032	0.15156	0.15106	0.15096	0.15124	0.15072	0.15068	0.15224	0.1528	0.15224	0.15202	0.1501	0.15144	0.1508	0.15128	0.1521	0.15256	0.15102	0.15032	0.15154
450	0.16162	0.32592	0.34704	0.34186	0.35882	0.34736	0.33626	0.34184	0.34328	0.34642	0.35268	0.32224	0.33786	0.33848	0.32524	0.3343	0.3381	0.335	0.3467	0.33234	0.31484	0.18302	0.18016	0.18044	0.1783	0.17798	0.17816	0.17886	0.17696	0.17936	0.17838	0.1788	0.17828	0.17688	0.17786	0.17846	0.17942	0.18004	0.1788	0.17884	0.1767	0.15042	0.15174	0.15108	0.1511	0.1513	0.15082	0.15078	0.1523	0.1529	0.15224	0.15222	0.15022	0.15156	0.1509	0.15142	0.1522	0.15272	0.15116	0.15048	0.15166
480	0.16154	0.3624	0.3896	0.38266	0.40258	0.38852	0.37608	0.38242	0.38446	0.38958	0.39648	0.35606	0.3761	0.37594	0.36062	0.37072	0.36948	0.36598	0.38388	0.36708	0.34588	0.18508	0.18204	0.18192	0.17992	0.17966	0.17972	0.18044	0.17846	0.18106	0.17986	0.1801	0.17978	0.17824	0.1792	0.17972	0.18094	0.18156	0.1801	0.18018	0.1781	0.15058	0.15182	0.15122	0.15126	0.15144	0.15098	0.15088	0.15246	0.15304	0.15242	0.15228	0.1503	0.15172	0.15104	0.1515	0.1523	0.15274	0.15122	0.15046	0.15176
510	0.16154	0.40722	0.44174	0.43232	0.45608	0.43896	0.42514	0.43334	0.43588	0.44154	0.44938	0.39806	0.42288	0.42192	0.40456	0.41636	0.41822	0.41206	0.4315	0.4108	0.38472	0.18734	0.18424	0.1837	0.1817	0.18172	0.18164	0.1823	0.18012	0.18302	0.18166	0.18164	0.18152	0.17984	0.18088	0.18132	0.1827	0.18338	0.18162	0.1818	0.17958	0.15066	0.15192	0.15128	0.15134	0.15154	0.15108	0.15096	0.15244	0.15306	0.1525	0.15236	0.15042	0.15182	0.15118	0.15158	0.15242	0.1528	0.15124	0.15056	0.15186
540	0.16152	0.4617	0.50354	0.49252	0.51976	0.4998	0.48482	0.49328	0.49702	0.5037	0.51082	0.44876	0.4785	0.47638	0.45704	0.47026	0.4687	0.46066	0.48584	0.46328	0.43146	0.1901	0.18678	0.18582	0.18388	0.1841	0.18386	0.18446	0.18208	0.18532	0.18376	0.18344	0.18352	0.18166	0.18274	0.18308	0.1847	0.18548	0.18338	0.18374	0.18138	0.15076	0.152	0.15142	0.15154	0.15162	0.15118	0.15106	0.15252	0.15322	0.1525	0.15254	0.15056	0.15196	0.15128	0.15172	0.15258	0.15292	0.15138	0.15068	0.15192
570	0.1615	0.52612	0.5767	0.56392	0.59284	0.56938	0.55454	0.56294	0.56886	0.57626	0.58142	0.50792	0.54404	0.53992	0.51906	0.53424	0.53016	0.51904	0.54954	0.5237	0.48786	0.19328	0.18988	0.18834	0.18652	0.187	0.1866	0.18708	0.1846	0.1881	0.18632	0.18544	0.18584	0.1838	0.1848	0.1852	0.18704	0.18792	0.18538	0.18582	0.18344	0.15094	0.15218	0.15168	0.15172	0.15186	0.15136	0.15124	0.15272	0.15336	0.15276	0.15274	0.15072	0.15222	0.15152	0.1519	0.15274	0.15316	0.1515	0.15082	0.1521
