time	blank	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	E6_1	E6_2	E6_3	E6_4	E6_5	E6_6	E6_7	E6_8	E6_9	E6_10	E6_11	E6_12	E6_13	E6_14	E6_15	E6_16	E6_17	E6_18	E6_19	E6_20	E10_1	E10_2	E10_3	E10_4	E10_5	E10_6	E10_7	E10_8	E10_9	E10_10	E10_11	E10_12	E10_13	E10_14	E10_15	E10_16	E10_17	E10_18	E10_19	E10_20
1050	0.161	1.79912	1.83394	1.82508	1.82144	1.82806	1.82062	1.8011	1.81152	1.7856	1.78686	1.77148	1.79522	1.7795	1.7586	1.78644	1.79902	1.78762	1.7844	1.74062	1.73022	0.43296	0.41846	0.38284	0.38676	0.4086	0.39702	0.3879	0.3757	0.41078	0.38586	0.33728	0.35688	0.33542	0.33988	0.33544	0.35364	0.36226	0.3324	0.3422	0.33778	0.1635	0.1641	0.16376	0.16558	0.16414	0.16432	0.16318	0.1632	0.16476	0.16414	0.16664	0.16258	0.16538	0.1639	0.1648	0.16594	0.16468	0.1621	0.1611	0.16388
1080	0.1609	1.82794	1.85522	1.84738	1.843	1.8509	1.84484	1.8252	1.83108	1.80202	1.80662	1.81672	1.83658	1.8216	1.80146	1.82758	1.84728	1.83706	1.8309	1.7859	1.77818	0.4759	0.4587	0.41806	0.42392	0.4486	0.43474	0.42476	0.41104	0.45078	0.42216	0.36428	0.38758	0.36226	0.36764	0.36244	0.38304	0.39288	0.35848	0.37026	0.366	0.16566	0.16622	0.16578	0.16804	0.16624	0.16648	0.1652	0.16494	0.16672	0.1661	0.16902	0.16466	0.16762	0.16602	0.1669	0.16808	0.16658	0.16386	0.16288	0.16596
1110	0.16094	1.84592	1.8695	1.86178	1.85632	1.86608	1.86044	1.83998	1.8429	1.81292	1.81944	1.84758	1.86528	1.85316	1.8325	1.85706	1.88304	1.8747	1.86468	1.82028	1.81674	0.52494	0.50684	0.4591	0.46674	0.49552	0.47844	0.46702	0.45114	0.49742	0.4641	0.39522	0.42302	0.39302	0.40008	0.39364	0.41814	0.42932	0.38822	0.403	0.39824	0.16832	0.16882	0.16824	0.17084	0.16876	0.16914	0.16772	0.16718	0.16906	0.16844	0.17192	0.1671	0.17026	0.1685	0.16954	0.1708	0.16898	0.16604	0.165	0.16836
1140	0.16106	1.85826	1.87824	1.87146	1.86424	1.87686	1.87004	1.84922	1.85106	1.81982	1.82776	1.86794	1.88404	1.87294	1.8522	1.87812	1.90472	1.8995	1.88632	1.84276	1.84162	0.58326	0.5624	0.50786	0.51694	0.54956	0.5291	0.5157	0.49736	0.55044	0.51338	0.43158	0.4647	0.4289	0.43736	0.43028	0.45918	0.47054	0.4229	0.44048	0.43482	0.1713	0.17158	0.17114	0.1742	0.17168	0.17222	0.17054	0.16966	0.17166	0.17126	0.17524	0.16998	0.17346	0.1714	0.1725	0.17402	0.17172	0.16856	0.16746	0.1713
1170	0.16098	1.86542	1.88438	1.87762	1.86854	1.88228	1.87686	1.85548	1.85656	1.82544	1.83344	1.8817	1.89598	1.88554	1.86532	1.89168	1.91718	1.91488	1.89846	1.85702	1.8586	0.64874	0.62478	0.562	0.57304	0.61088	0.58742	0.56994	0.55078	0.61054	0.56948	0.47286	0.51158	0.46916	0.4799	0.47168	0.50482	0.51644	0.4619	0.48306	0.47712	0.17472	0.17476	0.17422	0.17782	0.17492	0.17556	0.1736	0.17232	0.1746	0.17432	0.17906	0.17306	0.17684	0.1747	0.1759	0.1774	0.17472	0.17126	0.17006	0.17436
1200	0.16098	1.87052	1.88718	1.88208	1.87238	1.8877	1.87992	1.85914	1.86138	1.82926	1.83602	1.8895	1.90178	1.89374	1.87298	1.89948	1.9203	1.92456	1.90452	1.86516	1.86948	0.72036	0.69236	0.6229	0.63734	0.67984	0.6524	0.63068	0.61094	0.67928	0.63074	0.52098	0.56598	0.5153	0.5274	0.52014	0.55586	0.56962	0.50616	0.53122	0.5245	0.17876	0.1785	0.17792	0.18216	0.17884	0.17958	0.17736	0.17568	0.17806	0.17798	0.18348	0.17688	0.18094	0.1785	0.17972	0.18142	0.17832	0.1745	0.17318	0.17804
1230	0.161	1.87316	1.88912	1.88532	1.87726	1.89192	1.88354	1.86168	1.86348	1.8314	1.84088	1.89614	1.90718	1.89984	1.87968	1.90532	1.92474	1.92876	1.90766	1.87324	1.87698	0.79768	0.769	0.69234	0.70802	0.75512	0.7228	0.69874	0.67658	0.75482	0.69774	0.57602	0.62668	0.56798	0.58122	0.5745	0.61264	0.62674	0.55532	0.58622	0.57812	0.18332	0.1826	0.18212	0.18698	0.18314	0.18414	0.18156	0.17924	0.18192	0.18202	0.1887	0.18124	0.18556	0.18294	0.18432	0.18612	0.18242	0.17838	0.17684	0.18252
1260	0.16092	1.87556	1.8898	1.88726	1.87566	1.89064	1.88486	1.86422	1.86526	1.83326	1.84226	1.89922	1.9108	1.90322	1.88256	1.9091	1.92536	1.93108	1.91066	1.87736	1.88094	0.88	0.84842	0.76616	0.78444	0.8342	0.79758	0.77142	0.74884	0.83542	0.77132	0.63648	0.69292	0.62304	0.64058	0.6352	0.67588	0.68944	0.60956	0.64502	0.63824	0.18866	0.1875	0.18702	0.19276	0.1881	0.18938	0.18654	0.18354	0.18646	0.18694	0.19458	0.18618	0.19086	0.18786	0.18932	0.19134	0.18696	0.1826	0.18082	0.18732
1290	0.1609	1.87588	1.89138	1.88732	1.87834	1.89402	1.88726	1.8655	1.86672	1.83378	1.84428	1.90146	1.91232	1.90414	1.88524	1.9106	1.92436	1.93078	1.91334	1.88044	1.8851	0.96538	0.93232	0.84368	0.86582	0.9184	0.87598	0.8473	0.82682	0.91844	0.84932	0.7048	0.76524	0.68456	0.70582	0.7015	0.74364	0.75658	0.66844	0.71042	0.70394	0.19474	0.19308	0.1925	0.19928	0.19384	0.19542	0.19222	0.18846	0.19152	0.19222	0.20156	0.1921	0.1971	0.1937	0.19532	0.19774	0.1924	0.18748	0.18552	0.19306
1320	0.16084	1.87766	1.89232	1.88786	1.87884	1.89538	1.88822	1.86648	1.8677	1.83478	1.84534	1.9034	1.9145	1.90634	1.88754	1.91266	1.92548	1.93188	1.91528	1.88256	1.88784	1.05226	1.01574	0.9233	0.94948	1.00344	0.955	0.9269	0.90654	1.00246	0.9254	0.7807	0.84424	0.75068	0.77552	0.77562	0.81686	0.82744	0.73462	0.7789	0.77344	0.20176	0.19946	0.19882	0.20696	0.20034	0.20238	0.19864	0.19408	0.19758	0.19876	0.2096	0.19872	0.20404	0.20042	0.20216	0.20488	0.19874	0.19328	0.19092	0.19978
1350	0.16084	1.87832	1.89246	1.88858	1.87968	1.896	1.88912	1.86726	1.86886	1.83536	1.84608	1.9047	1.91582	1.90794	1.88874	1.91458	1.92602	1.93204	1.91682	1.88416	1.88894	1.1383	1.09928	1.00434	1.03442	1.08596	1.0343	1.01178	0.98432	1.0865	1.0004	0.85832	0.92258	0.8187	0.84718	0.8497	0.8932	0.90406	0.80222	0.84876	0.84738	0.21014	0.20696	0.20614	0.2157	0.20804	0.2103	0.20624	0.20058	0.20446	0.20634	0.21918	0.20638	0.2123	0.20822	0.21008	0.21334	0.2061	0.19998	0.19718	0.20748
1380	0.16084	1.87898	1.89348	1.8888	1.88006	1.89648	1.88942	1.86796	1.8691	1.83584	1.847	1.90626	1.91742	1.90864	1.8896	1.91538	1.92744	1.93166	1.91802	1.88512	1.89054	1.21994	1.1774	1.08452	1.11458	1.16516	1.10968	1.09128	1.06156	1.1667	1.07446	0.93442	1.0033	0.89008	0.92196	0.92728	0.97014	0.9809	0.87222	0.92264	0.92082	0.21992	0.21576	0.21482	0.22604	0.21698	0.21948	0.21508	0.20826	0.21252	0.21508	0.2302	0.21566	0.22186	0.21728	0.21924	0.22324	0.21464	0.2077	0.20454	0.21632
1410	0.16084	1.88012	1.8938	1.88952	1.88052	1.89714	1.88974	1.8693	1.86976	1.83622	1.84776	1.90704	1.91786	1.9102	1.89114	1.91644	1.92758	1.9314	1.91888	1.88612	1.89134	1.29708	1.25124	1.16054	1.1916	1.24132	1.17926	1.16832	1.13652	1.2415	1.14572	1.01064	1.08242	0.96276	0.99826	1.00484	1.04456	1.0577	0.9436	0.9925	0.99478	0.23124	0.22574	0.22462	0.23782	0.22716	0.2301	0.22514	0.21698	0.22186	0.22526	0.243	0.2262	0.2332	0.22766	0.23006	0.23458	0.22424	0.21652	0.21306	0.22684
1440	0.16078	1.87974	1.8925	1.88832	1.8801	1.89678	1.88882	1.8683	1.86954	1.83562	1.84708	1.90668	1.91766	1.90936	1.89058	1.91604	1.92654	1.92916	1.91848	1.8862	1.89128	1.36812	1.32014	1.23358	1.26412	1.31312	1.2474	1.2411	1.20998	1.31188	1.2131	1.0866	1.15956	1.03254	1.0732	1.0817	1.11712	1.13174	1.01496	1.06328	1.0663	0.24412	0.23724	0.23596	0.25166	0.23906	0.2424	0.23662	0.22716	0.23282	0.23664	0.25794	0.2384	0.24578	0.23942	0.24216	0.2476	0.23556	0.22666	0.22284	0.23918
1470	0.16076	1.88032	1.89366	1.88926	1.88034	1.89754	1.88974	1.86898	1.87068	1.83686	1.84822	1.90764	1.91832	1.91006	1.89122	1.91688	1.92758	1.92956	1.91904	1.88696	1.89306	1.43172	1.38674	1.3049	1.33444	1.3793	1.31334	1.30758	1.28018	1.37964	1.27868	1.15954	1.2347	1.10212	1.1425	1.1569	1.1868	1.20302	1.08452	1.1344	1.13358	0.25894	0.2506	0.24902	0.26756	0.25292	0.25638	0.25	0.23892	0.24502	0.2501	0.27506	0.25298	0.26084	0.253	0.25634	0.26302	0.24852	0.2385	0.2342	0.25306
1500	0.1607	1.87858	1.89016	1.88702	1.8771	1.89502	1.8875	1.86752	1.86798	1.83482	1.846	1.90554	1.91578	1.90758	1.88882	1.91418	1.92444	1.92632	1.91728	1.88476	1.8902	1.48912	1.44752	1.37194	1.3978	1.4408	1.3744	1.36946	1.34472	1.4383	1.33784	1.22846	1.30502	1.17176	1.21296	1.22712	1.2545	1.26864	1.1532	1.19708	1.20028	0.27602	0.26556	0.2639	0.28566	0.26858	0.27212	0.26482	0.25192	0.25868	0.2654	0.29558	0.26948	0.27816	0.26912	0.2729	0.2802	0.26368	0.25236	0.24716	0.26962
1530	0.16062	1.87964	1.89404	1.8891	1.87966	1.89868	1.88904	1.86896	1.8702	1.83702	1.84916	1.90724	1.91878	1.91046	1.89212	1.91836	1.92686	1.92638	1.9189	1.88884	1.89394	1.54396	1.50132	1.43444	1.45496	1.49378	1.43198	1.42838	1.40276	1.49156	1.39252	1.29182	1.37206	1.24048	1.27814	1.29558	1.31888	1.33282	1.22198	1.25908	1.26356	0.29598	0.28282	0.28074	0.30644	0.28642	0.29004	0.2814	0.2671	0.27492	0.28384	0.3188	0.28838	0.2978	0.28774	0.29206	0.30052	0.2809	0.26848	0.26212	0.28826
1560	0.16066	1.8804	1.89328	1.88934	1.87986	1.89678	1.88904	1.86872	1.86976	1.83668	1.84824	1.90858	1.91806	1.9106	1.8919	1.91722	1.92864	1.92736	1.92062	1.88762	1.89432	1.58454	1.54452	1.48522	1.50272	1.53582	1.48056	1.47664	1.4509	1.53094	1.4373	1.35414	1.43316	1.30122	1.34114	1.35808	1.38026	1.3932	1.287	1.31846	1.32274	0.3187	0.30222	0.30014	0.32994	0.30682	0.31046	0.30068	0.28442	0.29334	0.3041	0.3444	0.31012	0.32016	0.30912	0.31296	0.3233	0.30074	0.28624	0.27904	0.30948
1590	0.16062	1.8806	1.89334	1.88958	1.8805	1.89818	1.8893	1.86894	1.87006	1.83616	1.84854	1.90896	1.91842	1.91052	1.89232	1.91746	1.9288	1.92714	1.91996	1.88706	1.89406	1.61388	1.57446	1.52152	1.53746	1.56484	1.51516	1.51458	1.4851	1.55816	1.47206	1.40472	1.48364	1.35902	1.39712	1.41506	1.43192	1.4458	1.34766	1.3715	1.3747	0.34494	0.32428	0.32186	0.35702	0.32954	0.33326	0.32218	0.30414	0.3143	0.32758	0.37442	0.335	0.34546	0.3335	0.3369	0.34872	0.3233	0.30712	0.29886	0.3332
1620	0.16062	1.88108	1.89338	1.88918	1.8802	1.89812	1.88948	1.8695	1.86992	1.83664	1.84914	1.90936	1.91862	1.91076	1.89176	1.91732	1.9287	1.92728	1.92096	1.88788	1.89454	1.63328	1.59476	1.54712	1.56094	1.58296	1.53778	1.53856	1.5078	1.57626	1.49532	1.44324	1.52204	1.40756	1.4425	1.4603	1.47408	1.4902	1.39768	1.41668	1.41906	0.37388	0.34864	0.34596	0.3876	0.35482	0.35856	0.34622	0.32648	0.33804	0.35298	0.40866	0.36318	0.37444	0.36028	0.3642	0.37758	0.34846	0.33048	0.32114	0.36086
1650	0.16048	1.88028	1.89266	1.8885	1.87938	1.89832	1.8888	1.8692	1.86852	1.83484	1.84778	1.90788	1.91874	1.91022	1.89006	1.91562	1.92686	1.92642	1.9184	1.88756	1.89416	1.64528	1.60854	1.56264	1.57478	1.5939	1.55292	1.55558	1.52462	1.58662	1.51026	1.46974	1.5474	1.4415	1.47534	1.49164	1.50154	1.52232	1.43768	1.4529	1.45298	0.40702	0.37622	0.37274	0.42138	0.38288	0.38688	0.3736	0.35224	0.3658	0.3821	0.4464	0.39524	0.40628	0.39016	0.39446	0.4091	0.37768	0.35634	0.34592	0.39082
1680	0.16048	1.88008	1.8914	1.88728	1.8789	1.89826	1.8882	1.86814	1.86862	1.8346	1.84804	1.90656	1.91806	1.9097	1.8904	1.9158	1.92952	1.9271	1.91784	1.8872	1.89382	1.65396	1.61518	1.57232	1.58458	1.60244	1.56284	1.5649	1.53452	1.59318	1.52068	1.48828	1.56368	1.46544	1.49816	1.51378	1.5215	1.54528	1.46654	1.47712	1.47484	0.44396	0.40758	0.40298	0.4588	0.4138	0.41794	0.4031	0.38038	0.39606	0.41376	0.48726	0.43006	0.44272	0.4228	0.42858	0.445	0.4111	0.38582	0.37436	0.42522
1710	0.16042	1.88018	1.89216	1.88812	1.87888	1.89698	1.88814	1.86802	1.86856	1.83464	1.84812	1.9069	1.91684	1.90824	1.89244	1.9157	1.92672	1.92614	1.91868	1.88808	1.89372	1.65966	1.62182	1.5809	1.59252	1.60746	1.57174	1.57362	1.54158	1.59896	1.5288	1.5008	1.57614	1.48204	1.51282	1.5278	1.53474	1.5606	1.48592	1.49476	1.4899	0.48286	0.44066	0.4367	0.49912	0.44658	0.45258	0.43548	0.41134	0.42936	0.44854	0.52932	0.46594	0.48072	0.4578	0.46462	0.48358	0.44648	0.41632	0.40454	0.46074
1740	0.16044	1.88026	1.89216	1.88772	1.87854	1.89722	1.88822	1.86826	1.86838	1.83466	1.84872	1.90762	1.9163	1.90906	1.8899	1.91598	1.93106	1.9287	1.92134	1.8862	1.89238	1.66454	1.62656	1.58634	1.59736	1.6117	1.57712	1.57898	1.54724	1.60386	1.53558	1.51004	1.58322	1.49262	1.52418	1.53728	1.54418	1.57226	1.50026	1.51018	1.50078	0.52552	0.4765	0.4725	0.54254	0.48436	0.48896	0.4704	0.4452	0.46522	0.48566	0.57298	0.50558	0.5217	0.49566	0.50266	0.52382	0.4836	0.44932	0.43738	0.49934
1770	0.16042	1.8802	1.89168	1.88804	1.87918	1.89638	1.88792	1.86684	1.86814	1.83442	1.84838	1.9097	1.91686	1.90808	1.89012	1.91574	1.93412	1.9284	1.92134	1.88736	1.89496	1.66914	1.6299	1.59094	1.60238	1.615	1.58268	1.58366	1.5519	1.60702	1.54048	1.51696	1.588	1.50232	1.5338	1.54468	1.55148	1.58082	1.50928	1.52014	1.50848	0.56802	0.51434	0.5105	0.5885	0.52394	0.52716	0.50692	0.479	0.50434	0.52512	0.61696	0.5445	0.56408	0.53456	0.54166	0.56404	0.52394	0.48448	0.47228	0.53802
1800	0.1604	1.88028	1.89154	1.88742	1.8786	1.8969	1.8873	1.86782	1.86814	1.83456	1.84852	1.90782	1.91648	1.90816	1.89036	1.91602	1.93518	1.93186	1.9203	1.88608	1.89356	1.67214	1.63274	1.5945	1.6052	1.61782	1.58572	1.58712	1.55512	1.60996	1.54404	1.52206	1.5923	1.50748	1.54058	1.54882	1.5569	1.58644	1.51626	1.52756	1.51448	0.61272	0.5548	0.55078	0.63666	0.56652	0.56704	0.54438	0.5151	0.54548	0.56402	0.66324	0.58458	0.60594	0.57412	0.58082	0.60556	0.56624	0.52072	0.50962	0.5783
1830	0.16034	1.88032	1.89162	1.8858	1.87946	1.89646	1.88448	1.86794	1.86652	1.834	1.84846	1.90722	1.91434	1.90782	1.88952	1.91506	1.93634	1.93376	1.92044	1.88506	1.89444	1.67412	1.63438	1.59676	1.60724	1.61914	1.58716	1.58982	1.55732	1.61292	1.54808	1.52512	1.5951	1.51096	1.54472	1.55272	1.55988	1.59096	1.52152	1.53334	1.51954	0.65938	0.59672	0.59096	0.68826	0.61208	0.6072	0.58238	0.55386	0.59002	0.60472	0.70758	0.62712	0.6486	0.61534	0.61946	0.64632	0.6077	0.55534	0.54868	0.61548
1860	0.1603	1.88046	1.89286	1.88726	1.87804	1.89496	1.88762	1.86842	1.86782	1.83434	1.84984	1.90782	1.91584	1.90738	1.8903	1.91568	1.93628	1.93452	1.92142	1.88604	1.89352	1.67594	1.6369	1.59962	1.61012	1.62102	1.5899	1.5904	1.5609	1.61438	1.54982	1.5289	1.59784	1.51564	1.54924	1.55626	1.56434	1.59446	1.52662	1.53818	1.52494	0.70396	0.63934	0.63258	0.7378	0.6562	0.64822	0.62048	0.59202	0.6355	0.64436	0.754	0.66814	0.69178	0.6554	0.6588	0.68668	0.64944	0.58976	0.58674	0.65608
1890	0.16034	1.88176	1.89108	1.88694	1.87844	1.89546	1.88666	1.8672	1.86676	1.83514	1.84798	1.9072	1.91576	1.90722	1.88898	1.91704	1.93874	1.93738	1.92218	1.88536	1.89334	1.67778	1.6384	1.60096	1.6118	1.62224	1.5927	1.59246	1.56154	1.61692	1.55244	1.53262	1.60038	1.51838	1.5518	1.55918	1.56694	1.59848	1.52968	1.54304	1.52828	0.7504	0.68186	0.67474	0.788	0.70224	0.68928	0.65884	0.63028	0.6811	0.68554	0.80184	0.70892	0.7365	0.69586	0.69842	0.72822	0.692	0.62352	0.62436	0.69622
1920	0.16016	1.87952	1.89058	1.8866	1.87732	1.89596	1.88618	1.86684	1.86702	1.83406	1.8486	1.90844	1.91464	1.90674	1.88866	1.91372	1.9376	1.93606	1.91906	1.8853	1.89358	1.67916	1.63968	1.60198	1.61318	1.62298	1.59312	1.59388	1.56336	1.61724	1.55462	1.53474	1.60242	1.5201	1.55366	1.561	1.56872	1.60018	1.53208	1.54672	1.53054	0.7959	0.7255	0.71694	0.83886	0.7484	0.7324	0.6965	0.66696	0.72576	0.72654	0.84816	0.7499	0.78118	0.7377	0.73676	0.76888	0.73612	0.65714	0.66202	0.73586
1950	0.16032	1.87974	1.89094	1.88634	1.87768	1.89624	1.8863	1.86686	1.86666	1.8335	1.8482	1.90776	1.915	1.90666	1.8887	1.9143	1.9397	1.9381	1.921	1.88526	1.89432	1.68082	1.64072	1.6036	1.61442	1.62342	1.59508	1.59592	1.56486	1.61896	1.55738	1.53722	1.60336	1.5228	1.55608	1.56328	1.57166	1.60266	1.53424	1.55058	1.53318	0.83938	0.76938	0.75962	0.88954	0.7927	0.77498	0.73472	0.70392	0.7717	0.76604	0.89264	0.79218	0.82714	0.78034	0.7779	0.81158	0.78082	0.69052	0.70198	0.77408
1980	0.16022	1.87936	1.88986	1.88592	1.87766	1.8964	1.8858	1.86684	1.86652	1.83374	1.84834	1.90762	1.91464	1.90604	1.88848	1.91398	1.93768	1.9379	1.9191	1.8848	1.89422	1.68168	1.64108	1.60484	1.6156	1.62446	1.59582	1.59662	1.56536	1.61968	1.55842	1.53878	1.60404	1.52452	1.55762	1.5645	1.57238	1.60464	1.53586	1.5518	1.53548	0.88104	0.81462	0.80372	0.94274	0.83948	0.81676	0.7724	0.74328	0.81668	0.80782	0.93382	0.83132	0.87012	0.8216	0.81536	0.85186	0.82424	0.72484	0.74086	0.8111
2010	0.16024	1.8796	1.89034	1.88602	1.8772	1.8967	1.88632	1.86654	1.86652	1.83332	1.84842	1.90726	1.91446	1.9064	1.88802	1.91688	1.94212	1.94102	1.92248	1.8852	1.89424	1.68222	1.64218	1.6059	1.6163	1.62534	1.59634	1.5975	1.56542	1.61988	1.5591	1.54042	1.60546	1.52558	1.5599	1.56542	1.5751	1.6079	1.53782	1.55382	1.5369	0.92064	0.85774	0.847	0.99252	0.8855	0.85784	0.80752	0.78272	0.86312	0.84672	0.9688	0.8668	0.91052	0.86	0.84914	0.89048	0.86704	0.75818	0.77776	0.84436
2040	0.1602	1.8786	1.88972	1.88518	1.8765	1.8959	1.88522	1.86566	1.86572	1.8329	1.8482	1.90686	1.91326	1.9054	1.88698	1.91256	1.93854	1.93896	1.91766	1.88412	1.89456	1.68266	1.64292	1.60642	1.61674	1.62572	1.59632	1.5976	1.56606	1.62054	1.56016	1.54058	1.60628	1.52734	1.56058	1.56618	1.57534	1.6071	1.53906	1.55506	1.5386	0.95604	0.899	0.88754	1.03778	0.93054	0.89482	0.84144	0.82132	0.90816	0.88258	0.99808	0.89996	0.94476	0.89286	0.87888	0.92404	0.90338	0.78854	0.81142	0.87428
2070	0.1603	1.87956	1.89082	1.88524	1.87696	1.89638	1.88582	1.86622	1.8664	1.83366	1.84874	1.90726	1.91384	1.90584	1.88732	1.91302	1.94062	1.94126	1.91994	1.88368	1.89394	1.68352	1.644	1.60778	1.6176	1.62582	1.59828	1.59878	1.56786	1.62164	1.56192	1.54266	1.60778	1.52878	1.56124	1.56694	1.5765	1.60846	1.54042	1.55734	1.54068	0.98618	0.93496	0.92556	1.07744	0.96968	0.9261	0.87188	0.8565	0.9476	0.91384	1.02234	0.92822	0.97536	0.9229	0.90348	0.95406	0.93672	0.81724	0.84628	0.89902
2100	0.16018	1.8795	1.8901	1.8856	1.87692	1.89626	1.88536	1.86602	1.86568	1.83326	1.84844	1.9076	1.91358	1.90564	1.8874	1.91206	1.94308	1.94378	1.92194	1.88416	1.89482	1.6841	1.64442	1.60802	1.6182	1.62654	1.5986	1.59926	1.5685	1.62254	1.5624	1.54348	1.60822	1.52994	1.56216	1.56766	1.57776	1.60952	1.5412	1.55908	1.54188	1.00794	0.96492	0.95618	1.1059	1.00126	0.95126	0.89794	0.88624	0.98204	0.94024	1.04082	0.94846	0.99788	0.94584	0.92496	0.97572	0.96284	0.84086	0.87444	0.91876
2130	0.16018	1.87944	1.8901	1.88548	1.87682	1.89636	1.8857	1.86602	1.86564	1.83294	1.84868	1.907	1.91334	1.90532	1.88716	1.91238	1.9435	1.94482	1.92224	1.88336	1.8941	1.68496	1.6454	1.60876	1.61862	1.62734	1.59964	1.6005	1.56952	1.62332	1.56324	1.54484	1.60832	1.53068	1.56278	1.56826	1.57844	1.61046	1.5428	1.56018	1.54244	1.02566	0.98906	0.97976	1.12756	1.02786	0.97148	0.91888	0.91238	1.00982	0.96102	1.0565	0.9657	1.015	0.96374	0.94262	0.99286	0.98318	0.85918	0.89736	0.93532
2160	0.16022	1.87884	1.88964	1.88524	1.8772	1.896	1.8854	1.86626	1.86516	1.83328	1.84876	1.90764	1.91322	1.90462	1.88712	1.91288	1.94514	1.94612	1.92248	1.88274	1.89454	1.6856	1.64572	1.60984	1.6194	1.62748	1.60072	1.60048	1.57016	1.62372	1.56454	1.54504	1.6092	1.53198	1.5634	1.56876	1.57832	1.6113	1.54434	1.56184	1.54426	1.04044	1.00724	0.99824	1.14686	1.04772	0.98816	0.9354	0.93438	1.03322	0.97874	1.06858	0.98116	1.03152	0.97822	0.9568	1.00724	1.00262	0.87708	0.91676	0.95014
2190	0.16014	1.87878	1.88926	1.88504	1.87644	1.89528	1.8846	1.86558	1.86512	1.83278	1.84826	1.90664	1.91176	1.90438	1.88568	1.91074	1.94556	1.94702	1.92318	1.88276	1.89358	1.6857	1.64638	1.61018	1.6194	1.62766	1.60092	1.60096	1.57002	1.62374	1.56486	1.54484	1.60924	1.53274	1.56366	1.56866	1.57926	1.61262	1.54474	1.56128	1.54526	1.0518	1.02136	1.01198	1.1587	1.0608	1.00048	0.94704	0.94942	1.04694	0.99358	1.0776	0.99272	1.0434	0.98986	0.96838	1.0171	1.01562	0.8912	0.9312	0.96078
2220	0.1601	1.87888	1.88888	1.8845	1.8762	1.89564	1.88486	1.8655	1.8648	1.83294	1.84814	1.90678	1.91224	1.90366	1.88572	1.91082	1.94548	1.94706	1.92176	1.88288	1.89332	1.68582	1.64656	1.6102	1.61948	1.6279	1.60088	1.60158	1.5706	1.62426	1.56504	1.54594	1.60936	1.53352	1.564	1.56942	1.5802	1.61326	1.54572	1.5625	1.54614	1.06182	1.0344	1.0255	1.1691	1.072	1.01214	0.95848	0.96306	1.06016	1.006	1.08604	1.00268	1.0509	0.99978	0.97812	1.0256	1.02748	0.90138	0.94458	0.97022
2250	0.16006	1.8789	1.88866	1.8843	1.87556	1.89506	1.8842	1.86528	1.86474	1.83276	1.84828	1.90622	1.91188	1.9035	1.88532	1.91078	1.94284	1.94696	1.9192	1.883	1.89426	1.68662	1.64664	1.61074	1.62004	1.6282	1.60172	1.60204	1.57126	1.6251	1.56598	1.546	1.61022	1.53352	1.56444	1.5697	1.58058	1.6136	1.54644	1.5638	1.54672	1.06988	1.04396	1.03504	1.17604	1.08048	1.02024	0.96628	0.9731	1.0689	1.01452	1.0943	1.01046	1.05936	1.0081	0.98654	1.03338	1.03896	0.91086	0.955	0.9788
2280	0.16008	1.87906	1.88862	1.8845	1.8756	1.89566	1.88422	1.86512	1.86462	1.83254	1.8483	1.90616	1.91198	1.90388	1.88512	1.91054	1.9447	1.9484	1.92066	1.88312	1.89454	1.68706	1.64734	1.61108	1.62046	1.62876	1.60238	1.60212	1.5717	1.62568	1.56678	1.54744	1.6109	1.53444	1.56486	1.5707	1.58138	1.61384	1.54722	1.56514	1.54772	1.07658	1.05194	1.04294	1.18388	1.08848	1.02758	0.97254	0.98182	1.07786	1.02292	1.10222	1.01762	1.0675	1.01606	0.99478	1.04006	1.04808	0.92146	0.9642	0.98796
2310	0.16008	1.87886	1.8886	1.88398	1.87624	1.8956	1.88402	1.86492	1.86466	1.83264	1.8484	1.90638	1.91178	1.90288	1.88456	1.90946	1.94544	1.9499	1.9214	1.88358	1.8939	1.68752	1.64746	1.61104	1.62028	1.62882	1.60306	1.6028	1.57216	1.62594	1.56696	1.5476	1.61152	1.53552	1.56534	1.5712	1.58214	1.61426	1.54804	1.56574	1.54776	1.08234	1.05894	1.05052	1.18926	1.09518	1.03486	0.97888	0.98906	1.08494	1.03018	1.10742	1.02366	1.07328	1.0227	1.00118	1.0453	1.0549	0.92866	0.97142	0.99334
2340	0.16012	1.8787	1.88874	1.8841	1.87592	1.89552	1.88358	1.86502	1.86452	1.83264	1.8485	1.90608	1.91188	1.90374	1.88476	1.9104	1.94646	1.9511	1.92106	1.88314	1.89504	1.6881	1.64776	1.612	1.62054	1.6292	1.60338	1.60296	1.57246	1.62622	1.56754	1.54818	1.6116	1.5359	1.56604	1.57184	1.58316	1.61544	1.54838	1.5661	1.54848	1.0867	1.06422	1.0565	1.19334	1.1018	1.03918	0.98348	0.9959	1.0904	1.03572	1.11194	1.02992	1.07914	1.02938	1.00702	1.05184	1.06152	0.9365	0.97976	1.00074
